Component,Min,Max,Condition,Purpose
Lava penalty,-50.0,-50.0,YPos < 226.5,Terminal deterrent — fall in lava
Idle pressure,-1.0,0.0,"Always, quadratic growth","Forces progress, prevents stationary farming"
Alignment (moving),0.0,1.5,speed > 0.1,Rewards facing checkpoint while in motion
Alignment (stationary),0.0,0.2,speed ≤ 0.1,Weak orientation signal at spawn
Dwell bonus,0.0,1.0,"abs_rel<30°, speed>0.1",Rewards sustained alignment over twitching
Steering correction,-3.0,3.0,abs_rel > 15°,Outcome-based: rewards abs_rel decreasing
Edge penalty,-inf,0.0,front_edge & speed>0.3,Penalises charging at track edges
Speed reward,0.0,2.0,"abs_rel<45°, no edge",Rewards forward motion when aligned
Progress reward,0.0,inf,"abs_rel<45°, delta>0",Rewards closing distance to checkpoint
Checkpoint bonus,100.0,100.0,dist < 5.0,Sparse goal signal
Lap complete,200.0,200.0,all checkpoints done,Terminal success signal
